Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,6584.5,безналичный,Могилев,МаксБанк-IIFN-588,01-04-2000,13:04:15,недостаточно средств,да,82.6
физ. лицо,списание средств,4804.39,безналичный,Гомель,Приорбанк-IJJT-928,14-10-2007,16:34:39,неправильный ввод пин-кода,да,55.25
физ. лицо,получение средств,4192.65,наличный,Гомель,Беларусбанк-MZVZ-832,06-10-2012,23:29:26,успешно,нет,0.0
юр. лицо,получение средств,1411.14,безналичный,Витебск,Белинвестбанк-ASII-045,20-09-2010,17:52:31,успешно,нет,0.0
юр. лицо,получение средств,2953.62,безналичный,Минск,Белинвестбанк-VJRO-009,17-12-2011,20:09:26,успешно,нет,0.0
физ. лицо,получение средств,4459.99,безналичный,Гомель,Беларусбанк-OBYR-600,09-02-2022,22:59:22,успешно,нет,0.0
физ. лицо,получение средств,2999.49,безналичный,Минск,Приорбанк-VIOF-537,10-04-2018,18:48:33,успешно,нет,0.0
юр. лицо,списание средств,2278.83,безналичный,Минск,МаксБанк-XQQX-147,11-04-2001,04:26:56,недостаточно средств,да,114.29
физ. лицо,получение средств,2721.54,наличный,Брест,Беларусбанк-WNUZ-735,27-12-2004,08:56:13,успешно,нет,0.0
физ. лицо,получение средств,3898.56,наличный,Могилев,Белинвестбанк-SVLI-593,19-07-2006,05:22:49,успешно,нет,0.0
физ. лицо,списание средств,2145.58,безналичный,Гродно,МаксБанк-HCNQ-555,19-12-2019,10:03:33,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2139.47,наличный,Витебск,Беларусбанк-EOOY-605,25-05-2024,11:05:22,успешно,нет,0.0
юр. лицо,получение средств,2252.19,наличный,Брест,Приорбанк-OGCM-767,08-03-2022,14:09:18,успешно,нет,0.0
физ. лицо,списание средств,1765.82,наличный,Брест,Приорбанк-DAAH-046,18-05-2024,11:22:04,недостаточно средств,да,138.98
физ. лицо,списание средств,4925.55,безналичный,Гродно,МаксБанк-EJMN-988,22-06-2013,19:57:53,успешно,да,212.85
юр. лицо,получение средств,4899.64,наличный,Витебск,МаксБанк-AKJH-162,19-05-2005,18:05:06,успешно,нет,0.0
юр. лицо,получение средств,3211.02,наличный,Брест,Приорбанк-HDBN-102,24-12-2002,08:17:34,успешно,нет,0.0
физ. лицо,списание средств,1099.92,наличный,Гродно,Приорбанк-EABB-787,28-06-2023,15:41:42,недостаточно средств,нет,0.0
физ. лицо,получение средств,1794.94,безналичный,Могилев,БелАгропромбанк-XHWK-097,24-01-2017,17:52:32,успешно,нет,0.0
юр. лицо,списание средств,3472.4,безналичный,Гродно,Приорбанк-OZLN-272,30-10-2003,03:25:23,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4290.17,безналичный,Брест,БелАгропромбанк-DTCO-141,10-12-2007,04:42:12,успешно,нет,0.0
физ. лицо,получение средств,2837.63,безналичный,Витебск,Беларусбанк-OLMG-873,01-11-2018,01:26:05,успешно,нет,0.0
юр. лицо,списание средств,2036.74,безналичный,Гомель,БелАгропромбанк-OZBF-530,14-11-2003,17:33:16,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2626.31,безналичный,Брест,Приорбанк-WTAC-715,06-12-2015,14:10:07,успешно,да,206.89
юр. лицо,получение средств,118.5,безналичный,Могилев,БелАгропромбанк-YAHA-099,17-10-2017,06:59:31,успешно,нет,0.0
юр. лицо,списание средств,828.09,наличный,Гродно,Белинвестбанк-QCDU-143,17-01-2013,03:30:03,недостаточно средств,нет,0.0
физ. лицо,списание средств,1036.46,наличный,Гродно,Белинвестбанк-LIBD-049,15-06-2023,12:02:07,недостаточно средств,нет,0.0
юр. лицо,списание средств,228.93,безналичный,Могилев,Белинвестбанк-CBOK-199,22-01-2008,21:38:06,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4884.88,наличный,Минск,Приорбанк-KUVP-436,13-04-2005,09:51:00,недостаточно средств,да,443.04
юр. лицо,получение средств,3551.5,наличный,Брест,МаксБанк-SWSZ-979,28-08-2020,17:31:31,успешно,нет,0.0
юр. лицо,получение средств,3071.13,наличный,Гомель,БелАгропромбанк-LTMM-947,26-10-2003,04:18:59,успешно,нет,0.0
физ. лицо,получение средств,525.14,безналичный,Гомель,Беларусбанк-BSRL-443,26-01-2018,13:14:33,успешно,нет,0.0
юр. лицо,списание средств,1644.47,наличный,Минск,Беларусбанк-FQMJ-664,08-09-2016,23:13:33,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3926.05,безналичный,Гродно,Белинвестбанк-SETP-064,06-04-2004,10:23:37,успешно,нет,0.0
юр. лицо,списание средств,1708.54,наличный,Гродно,Беларусбанк-IVWK-115,18-11-2008,16:47:25,успешно,нет,0.0
юр. лицо,списание средств,4471.97,безналичный,Гродно,Беларусбанк-FENV-012,05-11-2017,15:13:50,недостаточно средств,нет,0.0
физ. лицо,получение средств,2791.47,безналичный,Минск,Приорбанк-YBGS-490,23-05-2004,16:24:56,успешно,нет,0.0
физ. лицо,списание средств,649.83,наличный,Гомель,МаксБанк-KDRU-654,01-02-2021,11:45:59,успешно,нет,0.0
юр. лицо,получение средств,1977.41,наличный,Могилев,МаксБанк-CJYW-791,03-04-2000,23:16:30,успешно,нет,0.0
физ. лицо,получение средств,904.68,наличный,Брест,Беларусбанк-CFKW-629,16-05-2011,01:32:01,успешно,нет,0.0
физ. лицо,получение средств,1108.75,наличный,Могилев,БелАгропромбанк-ZCGX-762,26-05-2011,13:50:55,успешно,нет,0.0
